iter	Passed	Remaining
415	2830	3973
416	2837	3966
417	2843	3958
418	2849	3951
419	2858	3947
420	2864	3939
421	2871	3932
422	2876	3924
423	2885	3919
424	2891	3912
425	2900	3908
426	2907	3901
427	2913	3894
428	2919	3886
429	2926	3878
430	2932	3871
431	2938	3863
432	2945	3856
433	2951	3849
434	2957	3841
435	2964	3834
436	2970	3827
437	2976	3819
438	2982	3811
439	2989	3804
440	2995	3796
441	3001	3789
442	3008	3782
443	3014	3774
444	3020	3767
445	3026	3759
446	3033	3752
447	3039	3745
448	3046	3738
449	3052	3730
450	3058	3723
451	3064	3715
452	3070	3708
453	3077	3700
454	3083	3693
455	3089	3686
456	3095	3678
457	3103	3672
458	3110	3665
459	3116	3658
460	3122	3651
461	3129	3643
462	3135	3636
463	3141	3628
464	3147	3621
465	3154	3614
466	3164	3611
467	3171	3605
468	3178	3598
469	3185	3591
470	3192	3585
471	3198	3577
472	3204	3570
473	3211	3563
474	3218	3556
475	3224	3549
476	3230	3542
477	3236	3534
478	3242	3527
479	3249	3520
480	3256	3513
481	3262	3506
482	3268	3498
483	3274	3491
484	3281	3484
485	3287	3476
486	3293	3469
487	3301	3463
488	3309	3458
489	3316	3451
490	3322	3444
491	3328	3437
492	3335	3429
493	3341	3422
494	3347	3415
495	3354	3408
496	3360	3400
497	3366	3393
498	3372	3385
499	3378	3378
500	3384	3370
501	3390	3363
502	3397	3356
503	3403	3349
504	3409	3342
505	3415	3334
506	3421	3326
507	3427	3319
508	3433	3312
509	3440	3305
510	3446	3298
511	3452	3291
512	3459	3283
513	3465	3276
514	3471	3269
515	3478	3262
516	3484	3255
517	3490	3247
518	3496	3240
519	3503	3233
520	3511	3228
521	3518	3221
522	3524	3214
523	3531	3208
524	3537	3200
525	3544	3193
526	3550	3186
527	3557	3179
528	3563	3172
529	3570	3166
530	3578	3160
531	3584	3153
532	3591	3146
533	3597	3139
534	3603	3132
535	3610	3125
536	3616	3118
537	3622	3111
538	3629	3103
539	3635	3096
540	3641	3089
541	3648	3082
542	3654	3075
543	3660	3068
544	3666	3061
545	3673	3054
546	3679	3047
547	3686	3040
548	3692	3033
549	3699	3026
550	3705	3019
551	3711	3012
552	3718	3005
553	3725	2999
554	3731	2992
555	3737	2984
556	3743	2977
557	3750	2970
558	3757	2964
559	3763	2957
560	3770	2950
561	3776	2943
562	3782	2936
563	3788	2928
564	3794	2921
565	3800	2914
566	3806	2907
567	3813	2900
568	3819	2893
569	3826	2886
570	3832	2879
571	3839	2872
572	3846	2866
573	3853	2859
574	3859	2852
575	3868	2847
576	3874	2840
577	3881	2833
578	3887	2826
579	3893	2819
580	3899	2812
581	3907	2806
582	3915	2800
583	3921	2793
584	3927	2786
585	3933	2779
586	3940	2772
587	3946	2764
588	3952	2757
589	3958	2750
590	3964	2743
591	3970	2736
592	3976	2729
593	3985	2723
594	3992	2717
595	3998	2710
596	4005	2703
597	4012	2697
598	4018	2690
599	4024	2683
600	4031	2676
601	4038	2669
602	4044	2662
603	4050	2655
604	4056	2648
605	4062	2641
606	4068	2634
607	4075	2627
608	4081	2620
609	4088	2613
610	4094	2606
611	4100	2599
612	4107	2592
613	4113	2586
614	4119	2579
615	4126	2572
616	4132	2565
617	4139	2558
618	4145	2551
619	4151	2544
620	4158	2537
621	4164	2531
622	4171	2524
623	4177	2517
624	4184	2510
625	4190	2503
626	4197	2496
627	4203	2489
628	4209	2483
629	4216	2476
630	4222	2469
631	4228	2462
632	4234	2455
633	4241	2448
634	4247	2441
635	4254	2434
636	4260	2428
637	4267	2421
638	4273	2414
639	4279	2407
640	4286	2400
641	4292	2393
642	4298	2386
643	4304	2379
644	4310	2372
645	4317	2365
646	4323	2358
647	4329	2351
648	4335	2344
649	4343	2338
650	4349	2331
651	4355	2324
652	4362	2318
653	4368	2311
654	4374	2304
655	4380	2297
656	4386	2290
657	4395	2284
658	4402	2278
659	4409	2271
660	4416	2264
661	4422	2258
662	4428	2251
663	4435	2244
664	4442	2238
665	4449	2231
666	4455	2224
667	4462	2217
668	4468	2210
669	4474	2203
670	4480	2196
671	4488	2190
672	4495	2184
673	4502	2177
674	4511	2171
675	4519	2166
676	4526	2159
677	4534	2153
678	4541	2147
679	4549	2140
680	4556	2134
681	4563	2127
682	4570	2121
683	4576	2114
684	4582	2107
685	4589	2100
686	4595	2093
687	4601	2086
688	4608	2080
689	4614	2073
690	4620	2066
691	4627	2059
692	4633	2052
693	4639	2045
694	4646	2038
695	4652	2032
696	4658	2025
697	4665	2018
698	4671	2011
699	4677	2004
700	4683	1997
701	4690	1990
702	4696	1984
703	4702	1977
704	4709	1970
705	4715	1963
706	4721	1956
707	4727	1949
708	4733	1942
709	4739	1935
710	4746	1929
711	4752	1922
712	4758	1915
713	4764	1908
714	4770	1901
715	4776	1894
716	4783	1887
717	4789	1881
718	4796	1874
719	4805	1868
720	4813	1862
721	4820	1855
722	4826	1849
723	4832	1842
724	4840	1835
725	4846	1829
726	4856	1823
727	4864	1817
728	4873	1811
729	4879	1804
730	4886	1798
731	4892	1791
732	4898	1784
733	4904	1777
734	4911	1770
735	4917	1763
736	4923	1757
737	4930	1750
738	4936	1743
739	4942	1736
740	4948	1729
741	4954	1722
742	4961	1716
743	4967	1709
744	4973	1702
745	4980	1695
746	4986	1688
747	4992	1682
748	4998	1675
749	5005	1668
750	5011	1661
751	5017	1654
752	5023	1647
753	5029	1640
754	5035	1634
755	5042	1627
756	5049	1620
757	5055	1614
758	5061	1607
759	5067	1600
760	5074	1593
761	5081	1586
762	5087	1580
763	5093	1573
764	5099	1566
765	5106	1559
766	5112	1553
767	5118	1546
768	5124	1539
769	5131	1532
770	5137	1525
771	5143	1519
772	5149	1512
773	5155	1505
774	5162	1498
775	5168	1491
776	5174	1485
777	5181	1478
778	5187	1471
779	5193	1464
780	5199	1458
781	5206	1451
782	5215	1445
783	5222	1438
784	5229	1432
785	5235	1425
786	5242	1418
787	5248	1412
788	5254	1405
789	5261	1398
790	5267	1391
791	5274	1385
792	5280	1378
793	5286	1371
794	5292	1364
795	5298	1357
796	5305	1351
797	5312	1344
798	5318	1337
799	5324	1331
800	5331	1324
801	5338	1317
802	5344	1311
803	5351	1304
804	5357	1297
805	5363	1290
806	5369	1284
807	5375	1277
808	5382	1270
809	5388	1264
810	5395	1257
811	5401	1250
812	5407	1243
813	5414	1237
814	5420	1230
815	5426	1223
816	5433	1217
817	5440	1210
818	5446	1203
819	5453	1197
820	5459	1190
821	5466	1183
822	5474	1177
823	5483	1171
824	5491	1164
825	5499	1158
826	5507	1152
827	5514	1145
828	5520	1138
829	5527	1132
830	5534	1125
831	5540	1118
832	5546	1112
833	5553	1105
834	5559	1098
835	5565	1091
836	5572	1085
837	5578	1078
838	5584	1071
839	5590	1064
840	5596	1058
841	5602	1051
842	5609	1044
843	5615	1037
844	5625	1031
845	5633	1025
846	5640	1018
847	5647	1012
848	5653	1005
849	5662	999
850	5668	992
851	5675	985
852	5681	979
853	5687	972
854	5693	965
855	5700	958
856	5706	952
857	5712	945
858	5718	938
859	5724	931
860	5731	925
861	5737	918
862	5743	911
863	5750	905
864	5755	898
865	5762	891
866	5767	884
867	5774	878
868	5780	871
869	5786	864
870	5792	857
871	5799	851
872	5805	844
873	5811	837
874	5817	831
875	5824	824
876	5831	817
877	5839	811
878	5846	804
879	5853	798
880	5859	791
881	5865	784
882	5871	778
883	5880	771
884	5887	765
885	5894	758
886	5901	751
887	5907	745
888	5913	738
889	5920	731
890	5926	724
891	5932	718
892	5938	711
893	5944	704
894	5951	698
895	5957	691
896	5963	684
897	5969	678
898	5976	671
899	5982	664
900	5988	657
901	5994	651
902	6000	644
903	6007	637
904	6013	631
905	6020	624
906	6026	617
907	6036	611
908	6042	604
909	6049	598
910	6056	591
911	6063	585
912	6069	578
913	6076	571
914	6083	565
915	6089	558
916	6096	551
917	6102	545
918	6108	538
919	6114	531
920	6121	525
921	6127	518
922	6134	511
923	6140	505
924	6146	498
925	6152	491
926	6159	485
927	6165	478
928	6171	471
929	6178	465
930	6184	458
931	6190	451
932	6197	445
933	6203	438
934	6209	431
935	6215	425
936	6221	418
937	6228	411
938	6234	404
939	6240	398
940	6246	391
941	6252	384
942	6258	378
943	6264	371
944	6270	364
945	6277	358
946	6283	351
947	6289	344
948	6295	338
949	6301	331
950	6308	325
951	6315	318
952	6321	311
953	6327	305
954	6333	298
955	6340	291
956	6346	285
957	6352	278
958	6358	271
959	6365	265
960	6370	258
961	6377	251
962	6383	245
963	6389	238
964	6395	231
965	6403	225
966	6409	218
967	6415	212
968	6435	205
969	6443	199
970	6450	192
971	6458	186
972	6466	179
973	6472	172
974	6479	166
975	6485	159
976	6492	152
977	6498	146
978	6504	139
979	6511	132
980	6517	126
981	6524	119
982	6531	112
983	6537	106
984	6544	99
985	6550	93
986	6556	86
987	6563	79
988	6570	73
989	6576	66
990	6582	59
991	6588	53
992	6594	46
993	6601	39
994	6611	33
995	6617	26
996	6624	19
997	6630	13
998	6636	6
999	6643	0
