iter	RMSE
0	24.67165889
1	22.86127027
2	21.25602784
3	19.8763607
4	18.68202625
5	17.64395352
6	16.74273538
7	15.97072788
8	15.31611852
9	14.76033319
10	14.30227416
11	13.88894059
12	13.54648971
13	13.26123769
14	13.03839223
15	12.83508131
16	12.67037443
17	12.52469012
18	12.39900188
19	12.2741577
20	12.18506297
21	12.1028813
22	12.03377538
23	11.9634901
24	11.91385289
25	11.83328628
26	11.78585275
27	11.74922682
28	11.7181547
29	11.69164415
30	11.6578893
31	11.63218056
32	11.59315372
33	11.5712525
34	11.54126976
35	11.52449891
36	11.5083541
37	11.4929105
38	11.45583053
39	11.44294346
40	11.42140248
41	11.40886977
42	11.39684265
43	11.37004323
44	11.3572207
45	11.34969596
46	11.3432741
47	11.32667493
48	11.31795859
49	11.30081543
50	11.28619491
51	11.2809876
52	11.27520825
53	11.26180358
54	11.25393043
55	11.24864429
56	11.24176213
57	11.23537799
58	11.2046805
59	11.19097971
60	11.18673972
61	11.18052858
62	11.16791229
63	11.15625411
64	11.15000507
65	11.14204538
66	11.13021564
67	11.12146666
68	11.1147656
69	11.09169419
70	11.07606063
71	11.06929056
72	11.05459809
73	11.04910946
74	11.04281321
75	11.03269517
76	11.01679015
77	11.00701129
78	10.99956916
79	10.99206732
80	10.98919511
81	10.98215624
82	10.97902375
83	10.97242694
84	10.95897673
85	10.95295466
86	10.94929112
87	10.94415223
88	10.93826068
89	10.9321867
90	10.92636603
91	10.92204886
92	10.91209845
93	10.90546316
94	10.9010695
95	10.89196244
96	10.88602113
97	10.86370825
98	10.85603171
99	10.84934788
100	10.84391645
101	10.84040875
102	10.82186679
103	10.81552979
104	10.80595884
105	10.80171565
106	10.79756734
107	10.79341914
108	10.78961668
109	10.78401359
110	10.77865508
111	10.76817883
112	10.75304891
113	10.7421772
114	10.73437677
115	10.72839407
116	10.71390166
117	10.70611411
118	10.70227243
119	10.69779222
120	10.69264844
121	10.68668022
122	10.67970692
123	10.67467524
124	10.66326494
125	10.65800814
126	10.65335245
127	10.64826209
128	10.64075009
129	10.63480274
130	10.6241677
131	10.60939878
132	10.60387209
133	10.59710533
134	10.58896939
135	10.58258465
136	10.57567737
137	10.57124107
138	10.56634931
139	10.5557227
140	10.55163108
141	10.54712181
142	10.54314436
143	10.54004202
144	10.53366567
145	10.52934782
146	10.52190534
147	10.51664807
148	10.51195564
149	10.50799331
150	10.50496686
151	10.49951714
152	10.49301349
153	10.48857444
154	10.47651154
155	10.4722823
156	10.46827983
157	10.46208775
158	10.45329053
159	10.44870938
160	10.44358797
161	10.43827248
162	10.43551809
163	10.43193441
164	10.42709925
165	10.42102082
166	10.41669512
167	10.40562191
168	10.40108715
169	10.39701158
170	10.3896905
171	10.37800101
172	10.36682045
173	10.36302825
174	10.35641559
175	10.3519072
176	10.34861465
177	10.34541591
178	10.34123382
179	10.33715776
180	10.32749277
181	10.32262328
182	10.3195093
183	10.31474328
184	10.30706928
185	10.30285665
186	10.29948386
187	10.2944578
188	10.28769976
189	10.28464918
190	10.27954082
191	10.27562814
192	10.27263067
193	10.26872622
194	10.26535487
195	10.2622197
196	10.25844645
197	10.25601978
198	10.25232684
199	10.2484085
200	10.24520832
201	10.24053332
202	10.23265994
203	10.22867445
204	10.2264192
205	10.22466364
206	10.22168154
207	10.21820935
208	10.21348024
209	10.20996263
210	10.20742411
211	10.20328886
212	10.20075667
213	10.19627872
214	10.1895433
215	10.18614484
216	10.18153758
217	10.17931124
218	10.177647
219	10.17326148
220	10.16934638
221	10.16569105
222	10.16187873
223	10.15819382
224	10.15568315
225	10.15330135
226	10.14869004
227	10.14541819
228	10.14289557
229	10.13725554
230	10.13417635
231	10.12835548
232	10.12199132
233	10.11762635
234	10.11427063
235	10.11182088
236	10.107131
237	10.10381481
238	10.09897827
239	10.09546804
240	10.0928593
241	10.0870695
242	10.08383994
243	10.08077437
244	10.07841844
245	10.07610583
246	10.07231629
247	10.06863516
248	10.06647384
249	10.06324558
250	10.06120647
251	10.0586034
252	10.05546476
253	10.05192884
254	10.04886629
255	10.04321047
256	10.0406325
257	10.03826714
258	10.03359176
259	10.0258735
260	10.02304924
261	10.01524271
262	10.01166139
263	10.00858284
264	10.00572077
265	10.00337943
266	10.00073961
267	9.99474944
268	9.991700221
269	9.988270093
270	9.983557149
271	9.98147157
272	9.978600843
273	9.975632468
274	9.972403818
275	9.969607374
276	9.968076548
277	9.965673626
278	9.963140081
279	9.961320538
280	9.958036584
281	9.954754911
282	9.953091896
283	9.950634185
284	9.947014181
285	9.943571467
286	9.939843802
287	9.935885484
288	9.933009156
289	9.928860377
290	9.925448723
291	9.923156093
292	9.918792634
293	9.9155232
294	9.911370841
295	9.908092014
296	9.905299334
297	9.901263704
298	9.897239946
299	9.894214771
300	9.890488082
301	9.887526114
302	9.882788378
303	9.879045961
304	9.875850098
305	9.869401895
306	9.86402597
307	9.860396634
308	9.858056607
309	9.855243637
310	9.848355206
311	9.844646132
312	9.842015881
313	9.839061925
314	9.836625303
315	9.834845878
316	9.832267421
317	9.829129369
318	9.827243583
319	9.821754103
320	9.819314732
321	9.814200572
322	9.811542377
323	9.809261189
324	9.805532362
325	9.800681064
326	9.798145565
327	9.793391231
328	9.791433245
329	9.789023411
330	9.785909632
331	9.78359062
332	9.780155969
333	9.777733699
334	9.773948015
335	9.76944978
336	9.765045428
337	9.761805308
338	9.75877082
339	9.754311523
340	9.751473048
341	9.749262408
342	9.746632935
343	9.744717747
344	9.742464907
345	9.739113236
346	9.736944383
347	9.735404935
348	9.732030649
349	9.729132444
350	9.726920996
351	9.722201045
352	9.718546034
353	9.715500434
354	9.711021443
355	9.709370376
356	9.705393355
357	9.703912805
358	9.701421985
359	9.698584261
360	9.694943726
361	9.692849907
362	9.687314593
363	9.683909076
364	9.682198067
365	9.679659311
366	9.675449583
367	9.671157415
368	9.668894062
369	9.663318323
370	9.660185378
371	9.656089515
372	9.652989792
373	9.650583335
374	9.647430858
375	9.644854344
376	9.640902094
377	9.639285757
378	9.637087073
379	9.633985176
380	9.629180312
381	9.626315692
382	9.62408699
383	9.62194199
384	9.619900168
385	9.615967644
386	9.61274903
387	9.611621591
388	9.608068912
389	9.604315153
390	9.600649165
391	9.597469034
392	9.595836323
393	9.591209148
394	9.588460803
395	9.584251241
396	9.581532171
397	9.579598025
398	9.574167831
399	9.571620388
400	9.568510242
401	9.566391286
402	9.563316524
403	9.557975473
404	9.555593432
405	9.550785622
406	9.548169225
407	9.546281609
408	9.54235604
409	9.540501237
410	9.538528096
411	9.536274949
412	9.532645928
413	9.530079186
414	9.526092538
415	9.523593365
416	9.51671593
417	9.513751553
418	9.511807607
419	9.508623709
420	9.504311767
421	9.501003847
422	9.499559928
423	9.49673725
424	9.492875445
425	9.489628435
426	9.486546792
427	9.483796526
428	9.479949287
429	9.477528345
430	9.474592516
431	9.472118221
432	9.468954185
433	9.466009062
434	9.463693337
435	9.461075111
436	9.459230142
437	9.455199989
438	9.452958354
439	9.450155454
440	9.447479933
441	9.444328572
442	9.44176301
443	9.437931027
444	9.435330239
445	9.433531809
446	9.430852334
447	9.427337977
448	9.425242711
449	9.423788009
450	9.420765691
451	9.418164617
452	9.414892556
453	9.411703854
454	9.408911025
455	9.406296751
456	9.404420728
457	9.401517288
458	9.396270685
459	9.394372001
460	9.390950523
461	9.389210181
462	9.387021987
463	9.384540327
464	9.382911548
465	9.380355424
466	9.378814892
467	9.376042254
468	9.373843845
469	9.371036242
470	9.368131235
471	9.363197302
472	9.360072413
473	9.356579492
474	9.353554127
475	9.350781984
476	9.348100087
477	9.345928942
478	9.343643352
479	9.34119515
480	9.339903963
481	9.336939524
482	9.334570674
483	9.332462774
484	9.329115677
485	9.326893768
486	9.324535295
487	9.322028398
488	9.319623531
489	9.317251834
490	9.314928933
491	9.311686187
492	9.308740766
493	9.306824373
494	9.303510854
495	9.30148844
496	9.299356444
497	9.296693173
498	9.295211835
499	9.293560649
500	9.291825583
501	9.289037681
502	9.285493024
503	9.283659133
504	9.281517975
505	9.280064815
506	9.278247165
507	9.276462589
508	9.274427053
509	9.271258504
510	9.269028087
511	9.267319084
512	9.264578504
513	9.262728804
514	9.260681284
515	9.255180189
516	9.250922766
517	9.250183387
518	9.248240527
519	9.245446245
520	9.243489314
521	9.241439717
522	9.239712957
523	9.238020197
524	9.236931816
525	9.234455516
526	9.231488809
527	9.229760265
528	9.227911349
529	9.225281986
530	9.223719455
531	9.221726507
532	9.219087351
533	9.216896484
534	9.215114133
535	9.212950604
536	9.208978344
537	9.205682184
538	9.203459131
539	9.201041128
540	9.198110151
541	9.194312072
542	9.19244751
543	9.190348054
544	9.188576045
545	9.185754947
546	9.183448484
547	9.180501595
548	9.178113682
549	9.17488525
550	9.173161215
551	9.169772973
552	9.166082097
553	9.164001316
554	9.160457886
555	9.158726545
556	9.156449375
557	9.153262189
558	9.150564141
559	9.147007286
560	9.145215965
561	9.138542046
562	9.13655601
563	9.135154684
564	9.133793441
565	9.131303221
566	9.128271538
567	9.124845384
568	9.123386838
569	9.120993463
570	9.119520707
571	9.115747595
572	9.113098377
573	9.110946907
574	9.109332017
575	9.106860835
576	9.104498198
577	9.100763382
578	9.098418627
579	9.096237106
580	9.093450164
581	9.091062712
582	9.088632824
583	9.086549387
584	9.084834713
585	9.082598674
586	9.080381783
587	9.078287313
588	9.076824722
589	9.075114956
590	9.072447117
591	9.070812118
592	9.069174434
593	9.067241635
594	9.065591952
595	9.063507156
596	9.060467507
597	9.057836922
598	9.055646059
599	9.053786287
600	9.052279369
601	9.050290524
602	9.048700974
603	9.047585017
604	9.04607207
605	9.044126734
606	9.042173509
607	9.04009458
608	9.036774271
609	9.035346305
610	9.033420124
611	9.032179248
612	9.030202328
613	9.027992726
614	9.026655144
615	9.025008499
616	9.02344138
617	9.020562698
618	9.018866211
619	9.017318823
620	9.014301064
621	9.011801965
622	9.010209656
623	9.007607895
624	9.00448098
625	9.002969322
626	8.99796809
627	8.996949828
628	8.993855651
629	8.992263496
630	8.989426995
631	8.988109507
632	8.98644669
633	8.984987676
634	8.981799783
635	8.980198967
636	8.978803205
637	8.977492786
638	8.974924615
639	8.972707323
640	8.970708636
641	8.96907293
642	8.967735452
643	8.966682738
644	8.964497
645	8.961708604
646	8.960240892
647	8.958503093
648	8.95660208
649	8.954866692
650	8.953271859
651	8.951798894
652	8.94918748
653	8.947237414
654	8.945338665
655	8.943617115
656	8.941832692
657	8.93979884
658	8.938518398
659	8.936534345
660	8.934441664
661	8.932265878
662	8.930395292
663	8.92745377
664	8.925580351
665	8.924033241
666	8.921978828
